run,sim_time,src_addr,dst_addr,dst_posx,dst_posy,h_bs,rssi,snr,dst_module,distance,numCuts,fractionInObstacle
0,0.00480461,300,210,1336,488,5,-89.6768,6.78553,rsu[30],184.114,2,0.0626469
0,0.00947127,215,275,971,254,5,-59.041,7855.27,rsu[43],82.0975,0,0
0,0.0094715,215,280,826,187,5,-63.65,2718.09,rsu[44],149.753,0,0
0,0.00947189,215,220,958,437,5,-69.2697,745.243,rsu[32],265.545,0,0
0,0.00947221,215,105,1337,142,5,-71.3023,466.699,rsu[9],363.241,0,0
0,0.00947265,215,100,936,666,5,-74.7196,212.471,rsu[8],495.537,0,0
0,0.020217,280,225,835,332,5,-64.0408,2484.2,rsu[33],145.279,0,0
0,0.020217,280,215,975,172,5,-63.65,2718.09,rsu[31],149.753,0,0
0,0.0202174,280,285,563,269,5,-69.8811,647.366,rsu[45],275.487,0,0
0,0.0202182,280,105,1337,142,5,-74.3068,233.661,rsu[9],512.978,0,0
0,0.0392934,60,270,654,793,5,-62.4904,3549.97,rsu[42],129.259,0,0
0,0.0392935,60,95,825,910,5,-64.6391,2164.48,rsu[7],141.683,0,0
0,0.0642533,130,270,654,793,5,-61.3484,4617.67,rsu[42],101,0,0
0,0.0642536,130,95,825,910,5,-65.8098,1653.04,rsu[7],191.846,0,0
0,0.0642537,130,295,657,676,5,-67.6433,1083.75,rsu[47],217.221,0,0
0,0.0832204,195,145,1214,956,5,-63.1139,3075.21,rsu[17],117.644,0,0
0,0.0832208,195,75,1247,824,5,-91.7087,4.25001,rsu[3],249.369,2,0.0392715
0,0.0832213,195,85,765,1040,5,-71.6756,428.257,rsu[5],381.189,0,0
0,0.0940493,180,245,453,634,5,-59.5419,6999.58,rsu[37],86.2844,0,0
0,0.0940494,180,90,574,536,5,-61.3421,4624.36,rsu[6],114.63,0,0
0,0.0940496,180,265,651,536,5,-65.7156,1689.29,rsu[41],191.377,0,0
0,0.0940497,180,190,425,769,5,-68.0883,978.219,rsu[26],223.754,0,0
0,0.0940498,180,185,453,317,5,-67.9985,998.654,rsu[25],231.106,0,0
0,0.0940498,180,160,210,597,5,-68.5958,870.328,rsu[20],254.757,0,0
0,0.0940501,180,230,427,227,5,-71.076,491.655,rsu[34],322.692,0,0
