run,sim_time,src_addr,dst_addr,dst_posx,dst_posy,h_bs,rssi,snr,dst_module,distance,numCuts,fractionInObstacle
0,3.11768,0,36,7470.26,4968.05,10,-84.7485,21.1421,node[3],1954.16,0,0
0,6.11768,0,36,7464.73,4969.03,10,-86.8877,12.9189,node[3],1950.17,0,0
0,9.11768,0,36,7437,4967.77,10,-87.1021,12.2967,node[3],1941.99,0,0
0,12.1177,0,36,7413.9,4953.53,10,-88.4996,8.9133,node[3],1947.83,0,0
0,15.1177,0,66,7680.07,5462.42,10,-84.8823,20.5006,node[8],1615.49,0,0
0,15.1177,0,36,7395.3,4930.06,10,-86.5835,13.8564,node[3],1964.13,0,0
0,18.1177,0,66,7678.54,5443.79,10,-87.2659,11.8417,node[8],1630.04,0,0
0,18.1177,0,36,7384.2,4903.42,10,-84.3016,23.4336,node[3],1986.05,0,0
0,21.1177,0,54,8004.38,6074.2,10,-90.1218,6.13503,node[6],1434.51,0,0
0,21.1177,0,66,7689.74,5407.47,10,-86.5452,13.979,node[8],1666.18,0,0
0,21.1177,0,36,7373.21,4875.99,10,-89.6062,6.90838,node[3],2008.71,0,0
0,24.1177,0,96,7460.73,5738.8,10,-88.4286,9.06029,node[13],1268.95,0,0
0,24.1177,0,54,7961.12,6074.47,10,-89.8946,6.46454,node[6],1397.59,0,0
0,24.1177,0,66,7706.18,5370.62,10,-86.562,13.9253,node[8],1705.66,0,0
0,24.1177,0,60,6886.97,9339.08,10,-89.0823,7.79421,node[7],2581.33,0,0
0,27.1177,0,96,7462.76,5713.76,10,-87.2361,11.9231,node[13],1290.6,0,0
0,27.1177,0,54,7935.36,6075.61,10,-89.047,7.85785,node[6],1375.24,0,0
0,27.1177,0,66,7699.99,5354.31,10,-86.2393,14.9991,node[8],1715.77,0,0
0,27.1177,0,60,6857.37,9249.69,10,-85.1882,19.1063,node[7],2491.53,0,0
0,30.1177,0,96,7457.37,5680.54,10,-86.1963,15.1484,node[13],1315.38,0,0
0,30.1177,0,54,7937.32,6098.6,10,-81.1202,48.7504,node[6],1365.43,0,0
0,30.1177,0,66,7664.68,5343.33,10,-85.1587,19.2366,node[8],1706.18,0,0
0,30.1177,0,60,6840.75,9189.98,10,-84.78,20.9896,node[7],2431.74,0,0
0,33.1177,0,96,7455.55,5675.15,10,-86.8848,12.9277,node[13],1318.97,0,0
0,33.1177,0,90,5865.85,5711.69,10,-75.643,172.067,node[12],1427.08,0,0
0,33.1177,0,66,7617.28,5352.34,10,-85.0357,19.7891,node[8],1674.27,0,0
0,33.1177,0,60,6824.92,9136.97,10,-85.1664,19.2026,node[7],2378.75,0,0
0,36.1177,0,96,7455.54,5675.13,10,-86.8869,12.9213,node[13],1318.98,0,0
0,36.1177,0,90,5866.15,5711.72,10,-75.7003,169.811,node[12],1426.86,0,0
0,36.1177,0,66,7576.16,5378.24,10,-84.7507,21.1313,node[8],1631.74,0,0
0,36.1177,0,60,6807.94,9083.57,10,-85.9161,16.158,node[7],2325.5,0,0
0,39.1177,0,96,7455.54,5675.13,10,-86.8869,12.9213,node[13],1318.98,0,0
0,39.1177,0,90,5866.15,5711.72,10,-75.7003,169.811,node[12],1426.86,0,0
0,39.1177,0,66,7536.42,5404.58,10,-82.8052,33.0738,node[8],1589.83,0,0
0,39.1177,0,60,6790.71,9029.35,10,-87.1074,12.2818,node[7],2271.56,0,0
0,42.1177,0,96,7455.54,5675.13,10,-86.8869,12.9213,node[13],1318.98,0,0
0,42.1177,0,90,5866.15,5711.72,10,-75.7003,169.811,node[12],1426.86,0,0
0,42.1177,0,66,7496.62,5431.01,10,-84.6442,21.6563,node[8],1548.08,0,0
0,42.1177,0,60,6775.17,8975.15,10,-85.9214,16.1385,node[7],2217.76,0,0
0,45.1177,0,24,7010.79,5735.12,10,-83.3431,29.2204,node[1],1098.54,0,0
0,45.1177,0,96,7455.54,5675.13,10,-86.8869,12.9213,node[13],1318.98,0,0
0,45.1177,0,90,5866.15,5711.72,10,-75.7003,169.811,node[12],1426.86,0,0
0,45.1177,0,66,7461.17,5429.83,10,-82.3866,36.4201,node[8],1532.82,0,0
0,48.1177,0,24,7057.8,5719.87,10,-83.7114,26.845,node[1],1123.84,0,0
0,48.1177,0,96,7455.54,5675.13,10,-86.8869,12.9213,node[13],1318.98,0,0
0,48.1177,0,90,5866.15,5711.72,10,-75.7003,169.811,node[12],1426.86,0,0
0,48.1177,0,66,7456.93,5429.63,10,-82.2779,37.3427,node[8],1531.09,0,0
0,51.1177,0,168,7308.93,5968.04,10,-84.3589,23.1262,node[25],1001.59,0,0
0,51.1177,0,24,7066.9,5754.11,10,-78.6337,86.4236,node[1],1094.05,0,0
0,51.1177,0,54,7919.25,6289.59,10,-88.4053,9.10899,node[6],1266.28,0,0
0,51.1177,0,96,7455.54,5675.13,10,-86.8869,12.9213,node[13],1318.98,0,0
0,51.1177,0,90,5866.15,5711.72,10,-75.7003,169.811,node[12],1426.86,0,0
0,51.1177,0,66,7445.81,5430.71,10,-83.2001,30.1988,node[8],1525.25,0,0
0,54.1177,0,174,7015.15,6883.7,10,-87.0817,12.3547,node[26],391.053,0,0
0,54.1177,0,168,7296.41,5968.47,10,-86.3603,14.5871,node[25],994.566,0,0
0,54.1177,0,24,7069.02,5796.89,10,-78.3541,92.1692,node[1],1054.61,0,0
0,54.1177,0,54,7913.39,6309.05,10,-79.4955,70.8687,node[6],1253.72,0,0
0,54.1177,0,96,7454.98,5673.47,10,-87.0437,12.4633,node[13],1320.08,0,0
0,54.1177,0,90,5866.15,5711.72,10,-75.7003,169.811,node[12],1426.86,0,0
0,54.1177,0,66,7435.06,5453.54,10,-82.8236,32.9335,node[8],1500.43,0,0
